abadzekhskaya	Abadzekhskaya
matrosy	Matrosy
matveyev kurgan	Matveyev Kurgan
matveyevka	Matveyevka
matveyevskoye	Matveyevskoye
matyushkino	Matyushkino
mayachnyy	Mayachnyy
maykop	Maykop
maykopskoye	Maykopskoye
maykor	Maykor
mayma	Mayma
mayna	Mayna
mayrtup	Mayrtup
mayskiy	Mayskiy
mayskoye	Mayskoye
mayya	Mayya
mechetinskaya	Mechetinskaya
mednogorsk	Mednogorsk
mednogorskiy	Mednogorskiy
medvedevo	Medvedevo
medveditskiy	Medveditskiy
medvedok	Medvedok
medvedovskaya	Medvedovskaya
medvenka	Medvënka
medvezh’i ozera	Medvezh’i Ozëra
medvezh’yegorsk	Medvezh’yegorsk
medyn	Medyn
meget	Meget
megion	Megion
mekhel’ta	Mekhel’ta
melekhovo	Melekhovo
melenki	Melenki
meleuz	Meleuz
melikhovo	Melikhovo
melikhovskaya	Melikhovskaya
mel’nikovo	Mel’nikovo
mendeleyevo	Mendeleyevo
mendeleyevsk	Mendeleyevsk
mendeleyevskiy	Mendeleyevskiy
menzelinsk	Menzelinsk
meshcherino	Meshcherino
meshchovsk	Meshchovsk
mesker-yurt	Mesker-Yurt
mesyagutovo	Mesyagutovo
metallostroy	Metallostroy
metrogorodok	Metrogorodok
mezen’	Mezen’
mezgor'e	Mezgor'e
mezhdurechensk	Mezhdurechensk
mezhdurechenskiy	Mezhdurechenskiy
mezhevoy	Mezhevoy
mezhgor’ye	Mezhgor’ye
mezhozernyy	Mezhozërnyy
mezinovskiy	Mezinovskiy
mga	Mga
mgachi	Mgachi
mglin	Mglin
miass	Miass
miasskoye	Miasskoye
miatli	Miatli
michurinsk	Michurinsk
michurinskoye	Michurinskoye
mikhalkovo	Mikhalkovo
mikhaylov	Mikhaylov
mikhaylovka	Mikhaylovka
mikhaylovsk	Mikhaylovsk
mikhaylovskaya	Mikhaylovskaya
mikhaylovskiy	Mikhaylovskiy
mikhaylovskoye	Mikhaylovskoye
mikhnevo	Mikhnëvo
mikulino	Mikulino
mikun’	Mikun’
millerovo	Millerovo
miloslavskoye	Miloslavskoye
milyutinskaya	Milyutinskaya
mil’kovo	Mil’kovo
mindyak	Mindyak
mineralnye vody	Mineralnye Vody
minusinsk	Minusinsk
min’yar	Min’yar
mirnaya	Mirnaya
mirny	Mirny
mirnyy	Mirnyy
mirskoy	Mirskoy
mishelevka	Mishelevka
misheronskiy	Misheronskiy
mishkino	Mishkino
miskindzha	Miskindzha
mitrofanovka	Mitrofanovka
mizur	Mizur
mnogoudobnoye	Mnogoudobnoye
mnogovershinnyy	Mnogovershinnyy
mochalishche	Mochalishche
mochishche	Mochishche
mogocha	Mogocha
mogoytuy	Mogoytuy
mogzon	Mogzon
mokhsogollokh	Mokhsogollokh
mokrous	Mokrous
mokrousovo	Mokrousovo
mokshan	Mokshan
molchanovo	Molchanovo
moldovka	Moldovka
molochnoye	Molochnoye
molochnyy	Molochnyy
molodezhnoye	Molodezhnoye
molodezhnyy	Molodëzhnyy
molokovo	Molokovo
monastyrishche	Monastyrishche
monastyrshchina	Monastyrshchina
monchegorsk	Monchegorsk
monetnyy	Monetnyy
monino	Monino
mordino	Mordino
mordovo	Mordovo
morgaushi	Morgaushi
morki	Morki
morozovsk	Morozovsk
morshansk	Morshansk
mortka	Mortka
moryakovskiy zaton	Moryakovskiy Zaton
mosal’sk	Mosal’sk
moscow	Moscow
moshenskoye	Moshenskoye
moshkovo	Moshkovo
moskalenki	Moskalënki
moskovskiy	Moskovskiy
moskovskoye	Moskovskoye
mosrentgen	Mosrentgen
mostishche	Mostishche
mostovskoy	Mostovskoy
motygino	Motygino
mozdok	Mozdok
mozhaysk	Mozhaysk
mozhga	Mozhga
mrakovo	Mrakovo
mshinskaya	Mshinskaya
mstera	Mstera
mstikhino	Mstikhino
mtsensk	Mtsensk
muchkapskiy	Muchkapskiy
mugi	Mugi
mugun	Mugun
mugur-aksy	Mugur-Aksy
mukhen	Mukhen
mukhorshibir’	Mukhorshibir’
mukhtolovo	Mukhtolovo
mulino	Mulino
mullovka	Mullovka
mumra	Mumra
mundybash	Mundybash
muranovo	Muranovo
murashi	Murashi
muravlenko	Muravlenko
murino	Murino
murmansk	Murmansk
murmashi	Murmashi
murmino	Murmino
murom	Murom
muromtsevo	Muromtsevo
mursalimkino	Mursalimkino
murygino	Murygino
muslyumovo	Muslyumovo
mutsalaul	Mutsalaul
muyezerskiy	Muyezerskiy
muzhi	Muzhi
myaksa	Myaksa
myatlevo	Myatlevo
myaundzha	Myaundzha
mys-kamennyy	Mys-Kamennyy
myshkin	Myshkin
myskhako	Myskhako
myski	Myski
mytishchi	Mytishchi
myurego	Myurego
naberezhnyye chelny	Naberezhnyye Chelny
nachalovo	Nachalovo
nadezhda	Nadezhda
nadterechnoje	Nadterechnoje
nadvoitsy	Nadvoitsy
nadym	Nadym
nagornyy	Nagornyy
nagorsk	Nagorsk
nagutskoye	Nagutskoye
nakhabino	Nakhabino
nakhodka	Nakhodka
nalchik	Nalchik
nalobikha	Nalobikha
namtsy	Namtsy
nar'yan-mar	Nar'yan-Mar
narian-mar	Narian-Mar
narimanov	Narimanov
naro-fominsk	Naro-Fominsk
narovchat	Narovchat
nartan	Nartan
nartkala	Nartkala
naryshkino	Naryshkino
natukhayevskaya	Natukhayevskaya
natyrbovo	Natyrbovo
nauchnyy gorodok	Nauchnyy Gorodok
naurskaya	Naurskaya
naushki	Naushki
navashino	Navashino
navlya	Navlya
navoloki	Navoloki
nazar'yevo	Nazar'yevo
nazarovo	Nazarovo
nazran	Nazran
nazyvayevsk	Nazyvayevsk
nebolchi	Nebolchi
nebug	Nebug
nedvigovka	Nedvigovka
neftegorsk	Neftegorsk
neftekamsk	Neftekamsk
neftekumsk	Neftekumsk
nefteyugansk	Nefteyugansk
nekhayevskaya	Nekhayevskaya
neklyudovo	Neklyudovo
nekrasovka	Nekrasovka
nekrasovskaya	Nekrasovskaya
nekrasovskiy	Nekrasovskiy
nekrasovskoye	Nekrasovskoye
nelazskoye	Nelazskoye
nelidovo	Nelidovo
nema	Nema
neman	Neman
nemchinovka	Nemchinovka
nerchinsk	Nerchinsk
nerchinskiy zavod	Nerchinskiy Zavod
nerekhta	Nerekhta
nerl’	Nerl’
neryungri	Neryungri
nesterov	Nesterov
nesterovskaya	Nesterovskaya
nes’	Nes’
net’inka	Net’inka
nevel’	Nevel’
nevel’sk	Nevel’sk
never	Never
neverkino	Neverkino
nevinnomyssk	Nevinnomyssk
nev’yansk	Nev’yansk
neya	Neya
neyvo-rudyanka	Neyvo-Rudyanka
neyvo-shaytanskiy	Neyvo-Shaytanskiy
nezhdaninskoe	Nezhdaninskoe
nezhinka	Nezhinka
nezhinskiy	Nezhinskiy
nezlobnaya	Nezlobnaya
nikel	Nikel
nikitinskiy	Nikitinskiy
nikola-lenivets	Nikola-Lenivets
nikolayevka	Nikolayevka
nikolayevsk	Nikolayevsk
nikolayevsk-on-amure	Nikolayevsk-on-Amure
nikolayevskaya	Nikolayevskaya
nikolayevskiy	Nikolayevskiy
nikolina gora	Nikolina Gora
nikolo-berezovka	Nikolo-Berëzovka
nikolo-pavlovskoye	Nikolo-Pavlovskoye
nikologory	Nikologory
nikol’sk	Nikol’sk
nikol’skoye	Nikol’skoye
nikol’skoye-na-cheremshane	Nikol’skoye-na-Cheremshane
nikulino	Nikulino
niny	Niny
nizhneangarsk	Nizhneangarsk
nizhnedevitsk	Nizhnedevitsk
nizhneivkino	Nizhneivkino
nizhnekamsk	Nizhnekamsk
nizhnepavlovka	Nizhnepavlovka
nizhnesortymskiy	Nizhnesortymskiy
nizhnetroitskiy	Nizhnetroitskiy
nizhneudinsk	Nizhneudinsk
nizhnevartovsk	Nizhnevartovsk
nizhneye kazanishche	Nizhneye Kazanishche
nizhniy arkhyz	Nizhniy Arkhyz
nizhniy baskunchak	Nizhniy Baskunchak
nizhniy bestyakh	Nizhniy Bestyakh
nizhniy cherek	Nizhniy Cherek
nizhniy chir	Nizhniy Chir
nizhniy dzhengutay	Nizhniy Dzhengutay
nizhniy ingash	Nizhniy Ingash
nizhniy kislyay	Nizhniy Kislyay
nizhniy kuranakh	Nizhniy Kuranakh
nizhniy kurkuzhin	Nizhniy Kurkuzhin
nizhniy lomov	Nizhniy Lomov
nizhniy mamon	Nizhniy Mamon
nizhniy novgorod	Nizhniy Novgorod
nizhniy odes	Nizhniy Odes
nizhniy sayantuy	Nizhniy Sayantuy
nizhniy tsasuchey	Nizhniy Tsasuchey
nizhniy ufaley	Nizhniy Ufaley
nizhniye achaluki	Nizhniye Achaluki
nizhniye sergi	Nizhniye Sergi
nizhniye vyazovyye	Nizhniye Vyazovyye
nizhny tagil	Nizhny Tagil
nizhnyaya irga	Nizhnyaya Irga
nizhnyaya maktama	Nizhnyaya Maktama
nizhnyaya omka	Nizhnyaya Omka
nizhnyaya poyma	Nizhnyaya Poyma
nizhnyaya salda	Nizhnyaya Salda
nizhnyaya tavda	Nizhnyaya Tavda
nizhnyaya tura	Nizhnyaya Tura
niznyaya poltavka	Niznyaya Poltavka
nogamerzin-yurt	Nogamerzin-Yurt
noginsk	Noginsk
noginsk-9	Noginsk-9
nogir	Nogir
nogliki	Nogliki
nolinsk	Nolinsk
norilsk	Norilsk
norkino	Norkino
novaya balakhna	Novaya Balakhna
novaya bryan’	Novaya Bryan’
novaya chara	Novaya Chara
novaya chigla	Novaya Chigla
novaya derevnya	Novaya Derevnya
novaya igirma	Novaya Igirma
novaya ladoga	Novaya Ladoga
novaya lyada	Novaya Lyada
novaya lyalya	Novaya Lyalya
novaya maka	Novaya Maka
novaya malykla	Novaya Malykla
novaya mayna	Novaya Mayna
novaya tavolzhanka	Novaya Tavolzhanka
novaya usman’	Novaya Usman’
novaya zaimka	Novaya Zaimka
novichikha	Novichikha
novikovo	Novikovo
novki	Novki
novo-nikol’skoye	Novo-Nikol’skoye
novo-peredelkino	Novo-Peredelkino
novo-talitsy	Novo-Talitsy
novoagansk	Novoagansk
novoaleksandrovsk	Novoaleksandrovsk
novoalekseyevskaya	Novoalekseyevskaya
novoaltaysk	Novoaltaysk
novoanninskiy	Novoanninskiy
novoasbest	Novoasbest
novobataysk	Novobataysk
novobelokatay	Novobelokatay
novobessergenovka	Novobessergenovka
novobeysugskaya	Novobeysugskaya
novobirilyussy	Novobirilyussy
novobiryusinskiy	Novobiryusinskiy
novoblagodarnoye	Novoblagodarnoye
novobureyskiy	Novobureyskiy
novocheboksarsk	Novocheboksarsk
novocheremshansk	Novocheremshansk
novocherkassk	Novocherkassk
novochernorechenskiy	Novochernorechenskiy
novoderevyankovskaya	Novoderevyankovskaya
novodmitriyevskaya	Novodmitriyevskaya
novodugino	Novodugino
novodvinsk	Novodvinsk
novodzhereliyevskaya	Novodzhereliyevskaya
novogagatli	Novogagatli
novogireyevo	Novogireyevo
novogornyy	Novogornyy
novogurovskiy	Novogurovskiy
novoivanovskoye	Novoivanovskoye
novokayakent	Novokayakent
novokhopersk	Novokhopërsk
novokhovrino	Novokhovrino
novokiyevskiy uval	Novokiyevskiy Uval
novokizhinginsk	Novokizhinginsk
novokorsunskaya	Novokorsunskaya
novokruchininskiy	Novokruchininskiy
novokubansk	Novokubansk
novokuybyshevsk	Novokuybyshevsk
novokuznetsk	Novokuznetsk
novokuz’minki	Novokuz’minki
novolabinskaya	Novolabinskaya
novolakskoye	Novolakskoye
novoleushkovskaya	Novoleushkovskaya
novolugovoye	Novolugovoye
novomalorossiyskaya	Novomalorossiyskaya
novomichurinsk	Novomichurinsk
novomikhaylovskiy	Novomikhaylovskiy
novominskaya	Novominskaya
novomoskovsk	Novomoskovsk
novomyshastovskaya	Novomyshastovskaya
novonikolayevskiy	Novonikolayevskiy
novonikol’sk	Novonikol’sk
novonukutskiy	Novonukutskiy
novoomskiy	Novoomskiy
novoorlovsk	Novoorlovsk
novoorsk	Novoorsk
novopavlovka	Novopavlovka
novopavlovsk	Novopavlovsk
novopesterevo	Novopesterevo
novopetrovskoye	Novopetrovskoye
novopistsovo	Novopistsovo
novoplatnirovskaya	Novoplatnirovskaya
novopodrezkovo	Novopodrezkovo
novopokrovka	Novopokrovka
novopokrovskaya	Novopokrovskaya
novoraychikhinsk	Novoraychikhinsk
novorossiysk	Novorossiysk
novorozhdestvenskaya	Novorozhdestvenskaya
novorudnyy	Novorudnyy
novorzhev	Novorzhev
novoseleznevo	Novoseleznëvo
novoselitskoye	Novoselitskoye
novoselovo	Novosëlovo
novosel’ye	Novosel’ye
novosemeykino	Novosemeykino
novosergiyevka	Novosergiyevka
novoshakhtinsk	Novoshakhtinsk
novoshakhtinskiy	Novoshakhtinskiy
novoshcherbinovskaya	Novoshcherbinovskaya
novosheshminsk	Novosheshminsk
novosibirsk	Novosibirsk
novosilikatnyy	Novosilikatnyy
novosil’	Novosil’
novosineglazovskiy	Novosineglazovskiy
novosin’kovo	Novosin’kovo
novosmolinskiy	Novosmolinskiy
novosokol’niki	Novosokol’niki
novospasskoye	Novospasskoye
novosysoyevka	Novosysoyevka
novoterskiy	Novoterskiy
novotitarovskaya	Novotitarovskaya
novotroitsk	Novotroitsk
novotroitskaya	Novotroitskaya
novotyryshkino	Novotyryshkino
novoukrainskiy	Novoukrainskiy
novoukrainskoye	Novoukrainskoye
novoul’yanovsk	Novoul’yanovsk
novoural’sk	Novoural’sk
novoutkinsk	Novoutkinsk
novouzensk	Novouzensk
novovarshavka	Novovarshavka
novovelichkovskaya	Novovelichkovskaya
novovladykino	Novovladykino
novovoronezh	Novovoronezh
novovyazniki	Novovyazniki
novoye	Novoye
novoye devyatkino	Novoye Devyatkino
novoye leushino	Novoye Leushino
novoyegor’yevskoye	Novoyegor’yevskoye
novozavedennoye	Novozavedennoye
novozavidovskiy	Novozavidovskiy
novozhivotinnoye	Novozhivotinnoye
novozybkov	Novozybkov
novy	Novy
novy oskol	Novy Oskol
novyy	Novyy
novyy buyan	Novyy Buyan
novyy byt	Novyy Byt
novyy chirkey	Novyy Chirkey
novyy gorodok	Novyy Gorodok
novyy izborsk	Novyy Izborsk
novyy karachay	Novyy Karachay
novyy khushet	Novyy Khushet
novyy kostek	Novyy Kostek
novyy nekouz	Novyy Nekouz
novyy rogachik	Novyy Rogachik
novyy ropsk	Novyy Ropsk
novyy sulak	Novyy Sulak
novyy toryal	Novyy Toryal
novyy uoyan	Novyy Uoyan
novyy urengoy	Novyy Urengoy
novyy urgal	Novyy Urgal
novyy vasyugan	Novyy Vasyugan
novyy yegorlyk	Novyy Yegorlyk
novyy zagan	Novyy Zagan
novyye atagi	Novyye Atagi
novyye burasy	Novyye Burasy
novyye cheremushki	Novyye Cherëmushki
novyye gorki	Novyye Gorki
novyye kuz’minki	Novyye Kuz’minki
novyye lapsary	Novyye Lapsary
novyye lyady	Novyye Lyady
novyye vikri	Novyye Vikri
novyye zori	Novyye Zori
noyabrsk	Noyabrsk
nozhay-yurt	Nozhay-Yurt
nudol’	Nudol’
nuradilovo	Nuradilovo
nurlat	Nurlat
nurma	Nurma
nyagan	Nyagan
nyandoma	Nyandoma
nyazepetrovsk	Nyazepetrovsk
nyda	Nyda
nyrob	Nyrob
nytva	Nytva
nyuksenitsa	Nyuksenitsa
nyurba	Nyurba
oblivskaya	Oblivskaya
obluch’ye	Obluch’ye
obninsk	Obninsk
obolensk	Obolensk
oboyan’	Oboyan’
obruchevo	Obruchevo
obsharovka	Obsharovka
obukhovo	Obukhovo
obukhovskoye	Obukhovskoye
ob’	Ob’
ochakovo-matveyevskoye	Ochakovo-Matveyevskoye
ocher	Ochër
odesskoye	Odesskoye
odintsovo	Odintsovo
odoyev	Odoyev
okha	Okha
okhansk	Okhansk
okhotsk	Okhotsk
okino-klyuchi	Okino-Klyuchi
okoneshnikovo	Okoneshnikovo
oksovskiy	Oksovskiy
oktyabrsky	Oktyabrsky
oktyabr’sk	Oktyabr’sk
oktyabr’skiy	Oktyabr’skiy
oktyabr’skoye	Oktyabr’skoye
okulovka	Okulovka
ol'yavidovo	Ol'yavidovo
ola	Ola
olenegorsk	Olenegorsk
olenino	Olenino
olenyok	Olenyok
olonets	Olonets
olovyannaya	Olovyannaya
olym	Olym
olyokminsk	Olyokminsk
ol’ga	Ol’ga
ol’ginka	Ol’ginka
ol’gino	Ol’gino
ol’ginskaya	Ol’ginskaya
ol’khovatka	Ol’khovatka
ol’khovka	Ol’khovka
omsk	Omsk
omsukchan	Omsukchan
omutinskoye	Omutinskoye
omutninsk	Omutninsk
onega	Onega
onguday	Onguday
onokhino	Onokhino
onokhoy	Onokhoy
opalikha	Opalikha
oparino	Oparino
opechenskiy posad	Opechenskiy Posad
opochka	Opochka
oranzherei	Oranzherei
orda	Orda
ordynskoye	Ordynskoye
ordzhonikidze	Ordzhonikidze
ordzhonikidzevskiy	Ordzhonikidzevskiy
orekhovo-borisovo	Orekhovo-Borisovo
orekhovo-borisovo severnoye	Orekhovo-Borisovo Severnoye
orekhovo-borisovo yuzhnoye	Orekhovo-Borisovo Yuzhnoye
orekhovo-zuyevo	Orekhovo-Zuyevo
orel	Orël
orel-izumrud	Orël-Izumrud
orenburg	Orenburg
orgtrud	Orgtrud
orichi	Orichi
orlik	Orlik
orlov	Orlov
orlovka	Orlovka
orlovo	Orlovo
orlovskiy	Orlovskiy
orota	Orota
orotukan	Orotukan
orsha	Orsha
orshanka	Orshanka
orsk	Orsk
orud’yevo	Orud’yevo
osa	Osa
osel’ki	Osel’ki
osinki	Osinki
osinniki	Osinniki
osinovo	Osinovo
ossora	Ossora
ostankinskiy	Ostankinskiy
ostashevo	Ostashëvo
ostashkov	Ostashkov
oster	Oster
ostrogozhsk	Ostrogozhsk
ostrov	Ostrov
ostrovnoy	Ostrovnoy
ostrovskoye	Ostrovskoye
ostrovtsy	Ostrovtsy
osyno	Osyno
otkaznoye	Otkaznoye
otrada	Otrada
otradnaya	Otradnaya
otradnoye	Otradnoye
otradnyy	Otradnyy
otrado-kubanskoye	Otrado-Kubanskoye
ous	Ous
overyata	Overyata
ovoshchi	Ovoshchi
ovsyanka	Ovsyanka
oy	Oy
oyek	Oyëk
oyskhara	Oyskhara
ozerki	Ozerki
ozerniy	Ozerniy
ozernovskiy	Ozernovskiy
ozernyy	Ozërnyy
ozersk	Ozërsk
ozersk	Ozersk
ozery	Ozëry
ozherel’ye	Ozherel’ye
ozinki	Ozinki
pachelma	Pachelma
pad’ mel’nichnaya	Pad’ Mel’nichnaya
palana	Palana
palatka	Palatka
palekh	Palekh
palkino	Palkino
pallasovka	Pallasovka
pamyat’ parizhskoy kommuny	Pamyat’ Parizhskoy Kommuny
pangody	Pangody
panino	Panino
pankovka	Pankovka
pankrushikha	Pankrushikha
parabel’	Parabel’
paran’ga	Paran’ga
paratunka	Paratunka
paraul	Paraul
parfen’yevo	Parfen’yevo
parfino	Parfino
pargolovo	Pargolovo
parizh	Parizh
parkovyy	Parkovyy
parma	Parma
parnas	Parnas
partizan	Partizan
partizansk	Partizansk
partizanskoye	Partizanskoye
partsa	Partsa
pasegovo	Pasegovo
pasha	Pasha
pashiya	Pashiya
pashkovskiy	Pashkovskiy
pavelets	Pavelets
pavino	Pavino
pavlodol’skaya	Pavlodol’skaya
pavlogradka	Pavlogradka
pavlovka	Pavlovka
pavlovo	Pavlovo
pavlovsk	Pavlovsk
pavlovskaya	Pavlovskaya
pavlovskaya sloboda	Pavlovskaya Sloboda
pavlovskiy	Pavlovskiy
pavlovskiy posad	Pavlovskiy Posad
pavshino	Pavshino
pechenga	Pechenga
pechersk	Pechersk
pechora	Pechora
pechory	Pechory
pelagiada	Pelagiada
peleduy	Peleduy
pelym	Pelym
peno	Peno
penza	Penza
peredovaya	Peredovaya
pereleshino	Perelëshino
pereleshinskiy	Perelëshinskiy
perelyub	Perelyub
peremyshl’	Peremyshl’
perepravnaya	Perepravnaya
pereslavl’-zalesskiy	Pereslavl’-Zalesskiy
peresvet	Peresvet
perevoloki	Perevoloki
perevolotskiy	Perevolotskiy
perevoz	Perevoz
pereyaslavka	Pereyaslavka
pereyaslovskaya	Pereyaslovskaya
perfilovo	Perfilovo
perm	Perm
persianovka	Persianovka
pervoavgustovskiy	Pervoavgustovskiy
pervomaysk	Pervomaysk
pervomayskaya	Pervomayskaya
pervomayskiy	Pervomayskiy
pervomayskoye	Pervomayskoye
pervouralsk	Pervouralsk
pervoye maya	Pervoye Maya
peschanokopskoye	Peschanokopskoye
peshki	Peshki
peshkovo	Peshkovo
peski	Peski
peskovka	Peskovka
pesochnoye	Pesochnoye
pesochnyy	Pesochnyy
pestovo	Pestovo
pestravka	Pestravka
pestretsy	Pestretsy
pestyaki	Pestyaki
peterhof	Peterhof
petra-dubrava	Petra-Dubrava
petro-slavyanka	Petro-Slavyanka
petrodvorets	Petrodvorets
petrogradka	Petrogradka
petrokamenskoye	Petrokamenskoye
petropavlovka	Petropavlovka
petropavlovsk-kamchatsky	Petropavlovsk-Kamchatsky
petropavlovskaya	Petropavlovskaya
petropavlovskoye	Petropavlovskoye
petrov val	Petrov Val
petrova dubrava	Petrova Dubrava
petrovo-dal’neye	Petrovo-Dal’neye
petrovsk	Petrovsk
petrovsk-zabaykal’skiy	Petrovsk-Zabaykal’skiy
petrovskaya	Petrovskaya
petrovskiy	Petrovskiy
petrovskoye	Petrovskoye
petrozavodsk	Petrozavodsk
petukhovo	Petukhovo
petushki	Petushki
pevek	Pevek
pichayevo	Pichayevo
pikalevo	Pikalëvo
pil’na	Pil’na
pindushi	Pindushi
pinega	Pinega
pinerovka	Pinerovka
pinyug	Pinyug
pioner	Pioner
pionerskiy	Pionerskiy
pirogovo	Pirogovo
pirogovskiy	Pirogovskiy
pirovskoye	Pirovskoye
pistsovo	Pistsovo
pitelino	Pitelino
piterka	Piterka
pitkyaranta	Pitkyaranta
pivovarikha	Pivovarikha
pizhanka	Pizhanka
pizhma	Pizhma
planovskoye	Planovskoye
plast	Plast
plastun	Plastun
plastunovskaya	Plastunovskaya
platnirovskaya	Platnirovskaya
platonovka	Platonovka
plavsk	Plavsk
plekhanovo	Plekhanovo
plesetsk	Plesetsk
pleshanovo	Pleshanovo
plotnikovo	Plotnikovo
plyos	Plyos
plyussa	Plyussa
pochep	Pochep
pochinki	Pochinki
pochinok	Pochinok
podborki	Podborki
poddor’ye	Poddor’ye
podgorenskiy	Podgorenskiy
podgornaya	Podgornaya
podgornoye	Podgornoye
podgornyy	Podgornyy
podgorodnyaya pokrovka	Podgorodnyaya Pokrovka
podkletnoye	Podkletnoye
podkumskiy	Podkumskiy
podlesnoye	Podlesnoye
podlesnyy	Podlesnyy
podnov’ye	Podnov’ye
podolsk	Podolsk
podosinki	Podosinki
podosinovets	Podosinovets
podporozh’ye	Podporozh’ye
podsineye	Podsineye
podsolnechnoye	Podsolnechnoye
podsosnovo	Podsosnovo
podstepki	Podstepki
podyuga	Podyuga
pogar	Pogar
pogranichnyy	Pogranichnyy
poim	Poim
pokachi	Pokachi
pokhvistnevo	Pokhvistnevo
pokosnoye	Pokosnoye
pokoynoye	Pokoynoye
pokrov	Pokrov
pokrovka	Pokrovka
pokrovo-prigorodnoye	Pokrovo-Prigorodnoye
pokrovsk	Pokrovsk
pokrovskoye	Pokrovskoye
pokrovskoye-streshnevo	Pokrovskoye-Streshnëvo
polazna	Polazna
poldnevoye	Poldnëvoye
polessk	Polessk
poletayevo	Poletayevo
polevskoy	Polevskoy
polotnyany zavod	Polotnyany Zavod
polovinnoye	Polovinnoye
poltavka	Poltavka
polunochnoye	Polunochnoye
polyane	Polyane
polyany	Polyany
polyarnyy	Polyarnyy
polyarnyye zori	Polyarnyye Zori
polysayevo	Polysayevo
pomary	Pomary
ponazyrevo	Ponazyrevo
ponezhukay	Ponezhukay
ponomarevka	Ponomarëvka
pontonnyy	Pontonnyy
ponyri	Ponyri
ponyri vtoryye	Ponyri Vtoryye
popova	Popova
popovo	Popovo
popovo-lezhachi	Popovo-Lezhachi
poputnaya	Poputnaya
porech’ye-rybnoye	Porech’ye-Rybnoye
poretskoye	Poretskoye
porkhov	Porkhov
poronaysk	Poronaysk
porosozero	Porosozero
port-katon	Port-Katon
poselki	Poselki
poselok mar’ino	Posëlok Mar’ino
poselok turisticheskogo pansionata klyazminskoe vodohranilische	Poselok Turisticheskogo pansionata Klyazminskoe vodohranilische
poselok zelenyy gay	Posëlok Zelënyy Gay
poshekhon’ye	Poshekhon’ye
pospelikha	Pospelikha
pos’yet	Pos’yet
potanino	Potanino
povarovo	Povarovo
povedniki	Povedniki
povenets	Povenets
povolzhskiy	Povolzhskiy
povorino	Povorino
poyakonda	Poyakonda
poyarkovo	Poyarkovo
poykovskiy	Poykovskiy
pozhva	Pozhva
praskoveya	Praskoveya
pravda	Pravda
pravdinsk	Pravdinsk
pravdinskiy	Pravdinskiy
pravohettinskiy	Pravohettinskiy
pravokubanskiy	Pravokubanskiy
pravokumskoye	Pravokumskoye
prechistoye	Prechistoye
predivinsk	Predivinsk
pregradnaya	Pregradnaya
pregradnoye	Pregradnoye
preobrazheniye	Preobrazheniye
preobrazhenskaya	Preobrazhenskaya
presnenskiy	Presnenskiy
priamurskiy	Priamurskiy
priargunsk	Priargunsk
pribrezhnyy	Pribrezhnyy
pridonskoy	Pridonskoy
prigorodka	Prigorodka
prigorodnoye	Prigorodnoye
prigorodnyy	Prigorodnyy
priiskovyy	Priiskovyy
prikubanskiy	Prikubanskiy
priladozhskiy	Priladozhskiy
primalkinskoye	Primalkinskoye
primorka	Primorka
primorsk	Primorsk
primorskiy	Primorskiy
primorsko-akhtarsk	Primorsko-Akhtarsk
priob’ye	Priob’ye
priozersk	Priozërsk
pristen’	Pristen’
pritomskiy	Pritomskiy
priupskiy	Priupskiy
privodino	Privodino
privolzhsk	Privolzhsk
privolzhskiy	Privolzhskiy
privolzhskoye	Privolzhskoye
privolzh’ye	Privolzh’ye
priyutnoye	Priyutnoye
priyutovo	Priyutovo
prochnookopskaya	Prochnookopskaya
progress	Progress
prokhladnyy	Prokhladnyy
prokhorovka	Prokhorovka
prokop’yevsk	Prokop’yevsk
prokudskoye	Prokudskoye
proletariy	Proletariy
proletarsk	Proletarsk
proletarskiy	Proletarskiy
promyshlennaya	Promyshlennaya
promyshlennovskiy	Promyshlennovskiy
promyshlennyy	Promyshlennyy
pronsk	Pronsk
prosvet	Prosvet
protvino	Protvino
provideniya	Provideniya
prudy	Prudy
pryamitsyno	Pryamitsyno
pryazha	Pryazha
psebay	Psebay
psedakh	Psedakh
pshada	Pshada
pshekhskaya	Pshekhskaya
pskov	Pskov
psygansu	Psygansu
psyzh	Psyzh
puchezh	Puchezh
pudem	Pudem
pudozh	Pudozh
pugachev	Pugachëv
puksoozero	Puksoozero
purekh	Purekh
purpe	Purpe
purshevo	Purshevo
pushchino	Pushchino
pushkin	Pushkin
pushkino	Pushkino
pushkinskiye gory	Pushkinskiye Gory
pustoshka	Pustoshka
putevka	Putëvka
puteyets	Puteyets
putyatino	Putyatino
pyaozerskiy	Pyaozerskiy
pyatigorsk	Pyatigorsk
pyatigorskiy	Pyatigorskiy
pyatnitskoye	Pyatnitskoye
pyatovskiy	Pyatovskiy
pychas	Pychas
pyra	Pyra
pyshchug	Pyshchug
pyshma	Pyshma
pyt-yakh	Pyt-Yakh
pytalovo	Pytalovo
rabocheostrovsk	Rabocheostrovsk
rabotki	Rabotki
radchenko	Radchenko
radishchevo	Radishchevo
raditsa-krylovka	Raditsa-Krylovka
radovitskiy	Radovitskiy
radumlya	Radumlya
raduzhny	Raduzhny
raduzhnyy	Raduzhnyy
rakhmanovo	Rakhmanovo
rakitnoye	Rakitnoye
ramenki	Ramenki
ramenskoye	Ramenskoye
rameshki	Rameshki
ramon’	Ramon’
rasshevatskaya	Rasshevatskaya
