4 arm (kharwali)	4 Arm (Kharwali)
hnahthial	Hnahthial
hoda	Hoda
hodal	Hodal
hojai	Hojāi
holalkere	Holalkere
holenarasipura	Holenarasipura
homnabad	Homnābād
honnali	Honnāli
honnavar	Honnavar
hosadurga	Hosadurga
hosakote	Hosakote
hosanagara	Hosanagara
hosangadi	Hosangadi
hosapete	Hosapete
hoshiarpur	Hoshiārpur
hoskote	Hoskote
hosur	Hosūr
howli	Howli
howraghat	Howraghat
howrah	Howrah
hubballi	Hubballi
hudkeshwar buzurg	Hudkeshwar Buzurg
hugli	Hugli
hui	Hui
hukeri	Hukeri
hukumpeta	Hukumpeta
hulikal	Hulikal
huliyar	Huliyār
hunasamaranahalli	Hunasamaranahalli
hungund	Hungund
hunsur	Hunsūr
hupari	Hupari
husainabad	Husainābād
husainpur	Husainpur
hutagalli	Hutagalli
hyderabad	Hyderabad
iawar	Iāwar
ibrahimpatan	Ibrāhīmpatan
ibrahimpatnam	Ibrāhīmpatnam
ibrahimpur	Ibrāhīmpur
icchannur	Icchannūr
ichalkaranji	Ichalkaranji
ichchapuram	Ichchāpuram
ichchhapor	Ichchhapor
ichhawar	Ichhāwar
ichora	Ichora
idaiseval	Idaiseval
idaiyarpalaiyam	Idaiyarpālaiyam
idangansalai	Idangansālai
idappadi	Idappadi
idar	Idar
idigarai	Idigarai
idukki	Idukki
iduvay	Iduvāy
igatpuri	Igatpuri
iglas	Iglās
ikauna	Ikauna
iklehra	Iklehra
ilaiyankudi	Ilaiyankudi
ilampillai	Ilampillai
ilanji	Ilanji
ilkal	Ilkal
iluppur	Iluppūr
imphal	Imphal
inam maniyachi	Inam Maniyachi
inda chhoi	Inda Chhoi
indapur	Indāpur
indargarh	Indargarh
indergarh	Indergarh
indi	Indi
indipur	Indipur
indore	Indore
indpur	Indpur
indri	Indri
injambakkam	Injambakkam
iramallur	Iramallūr
irba	Irbā
irikkur	Irikkūr
irimbiliyam	Irimbiliyam
iringal	Iringal
iringappuram	Iringappuram
irinjalakuda	Irinjālakuda
iriveri	Irivēri
irongmara	Irongmara
iroopara	Iroopara
irugur	Irugūr
isagarh	Isāgarh
isapur	Īsāpur
isasani	Isasani
islamnagar	Islāmnagar
islampur	Islāmpur
ismailabad	Ismāilābād
isnapuram	Isnapuram
isri	Isri
itamati	Itāmāti
itanagar	Itanagar
itarsi	Itārsi
itaunja	Itaunja
jabalpur	Jabalpur
jabera	Jabera
jadcherla	Jadcherla
jadugora	Jadugora
jafarabad	Jāfarābād
jafarpur kalan	Jāfarpur Kalān
jaffrabad	Jaffrabad
jagadapatnam	Jagadāpatnam
jagadhri	Jagādhri
jagalur	Jagalūr
jagannathpur	Jagannāthpur
jagatsinghapur	Jagatsinghapur
jagdalpur	Jagdalpur
jagdishpur	Jagdīshpur
jagdispur	Jagdīspur
jaggaiahpet	Jaggaiahpet
jaggayyapeta	Jaggayyapeta
jagiroad	Jagiroad
jagnair	Jagnair
jagraon	Jagraon
jagtial	Jagtiāl
jahanabad	Jahānābād
jahangirabad	Jahāngīrābād
jahangirpur	Jahāngīrpur
jahazpur	Jahāzpur
jaigaon	Jaigaon
jaijepur	Jaijepur
jainagar	Jainagar
jainpur	Jainpur
jainur	Jainur
jaipur	Jaipur
jais	Jais
jaisalmer	Jaisalmer
jaisinghnagar	Jaisinghnagar
jaisingpur	Jaisingpur
jaitaran	Jaitāran
jaithari	Jaithāri
jaithari	Jaithari
jaito	Jaito
jaitpur	Jaitpur
jaitwari	Jaitwāri
jajang	Jājang
jajmau	Jājmau
jajpur	Jājpur
jakhal	Jākhal
jakhri	Jākhri
jalah	Jalah
jalakandapuram	Jalakandapuram
jalalabad	Jalālābād
jalalabad	Jalālābad
jalali	Jalālī
jalalpore	Jalalpore
jalalpur	Jalālpur
jalandhar	Jalandhar
jalandhar cantonment	Jalandhar Cantonment
jalarpet	Jalārpet
jalaun	Jālaun
jalda	Jalda
jalesar	Jalesar
jaleshwar	Jaleshwar
jalgaon	Jalgaon
jalgaon jamod	Jalgaon Jamod
jali	Jāli
jalladiampet	Jalladiampet
jallaram	Jallaram
jalna	Jālna
jalochi	Jalochi
jalor	Jalor
jalpaiguri	Jalpāiguri
jalukie	Jalukie
jam	Jām
jamadoba	Jāmadoba
jamai	Jāmai
jamalpur	Jamālpur
jambai	Jāmbai
jambusar	Jambusar
jamjodhpur	Jamjodhpur
jamkhandi	Jamkhandi
jamkhed	Jāmkhed
jammalamadugu	Jammalamadugu
jammu	Jammu
jammu cantonment	Jammu Cantonment
jamnagar	Jamnagar
jamner	Jāmner
jamshedpur	Jamshedpur
jamtara	Jāmtāra
jamui	Jamūī
jamul	Jāmul
jamunamukh	Jamunāmukh
jamuria	Jāmuria
jamwa ramgarh	Jamwa Rāmgarh
jandiala	Jandiāla
jandiala guru	Jandiāla Gurū
jandli	Jāndli
jangalpur	Jangalpur
jangaon	Jangaon
jangipur	Jangipur
janjgir	Jānjgīr
janpur	Jānpur
jansath	Jānsath
jaoli	Jaoli
jaora	Jaora
jar	Jar
jarhi	Jarhi
jaridih	Jāridih
jarjapupeta	Jarjapupeta
jarod	Jarod
jarwal	Jarwal
jasai	Jasai
jasdan	Jasdan
jashpur nagar	Jashpur Nagar
jasidih	Jasidih
jaspur	Jaspur
jasrana	Jasrāna
jasrasar	Jasrāsar
jaswantnagar	Jaswantnagar
jatani	Jatani
jatara	Jatāra
jaunpur	Jaunpur
jaurian	Jauriān
jawad	Jāwad
jawaharnagar	Jawaharnagar
jawala mukhi	Jawāla Mukhi
jawhar	Jawhār
jayamkondacholapuram	Jayamkondacholapuram
jaynagar majilpur	Jaynagar Majilpur
jejuri	Jejūri
jena	Jena
jetalsar	Jetalsar
jeti	Jeti
jetpur	Jetpur
jevargi	Jevargi
jewar	Jewar
jeypore	Jeypore
jhab	Jhāb
jhabua	Jhābua
jhadeshwar	Jhadeshwar
jhagarwas	Jhagarwas
jhagra pt.iii	Jhagra Pt.III
jhagrakhand	Jhagrakhand
jhajha	Jhajha
jhajjar	Jhajjar
jhakal mandi	Jhakal Mandi
jhalawar	Jhālāwār
jhalida	Jhalidā
jhalod	Jhālod
jhalrapatan	Jhālrapātan
jhalu	Jhālu
jhanjharpur	Jhanjhārpur
jhansi	Jhānsi
jhargram	Jhārgrām
jharia	Jharia
jharoda kalan	Jharoda Kalān
jharoda mazra burari	Jharoda Mazra Burāri
jharsuguda	Jharsuguda
jhinghipahari	Jhinghipahari
jhinjhak	Jhīnjhak
jhinjhana	Jhinjhāna
jhinkpani	Jhinkpani
jhompra	Jhompra
jhulasan	Jhulasan
jhumri telaiya	Jhumri Telaiya
jhundpura	Jhundpura
jhunjhunun	Jhunjhunūn
jhusi	Jhūsi
jigani	Jigani
jiladiguda	Jilādiguda
jind	Jīnd
jining	Jining
jintur	Jintūr
jiran	Jīran
jirapur	Jirapur
jiraun kasba	Jiraūn Kasba
jiribam	Jiribam
jiwanpur	Jīwanpur
job	Job
jobat	Jobat
jobner	Jobner
joda	Joda
jodhan	Jodhan
jodhpur	Jodhpur
jodiya bandar	Jodiya Bandar
jogbani	Jogbani
jogighopa	Jogīghopa
jogindarnagar	Jogindarnagar
jogipet	Jogipet
joka	Joka
jona pur	Jona Pur
jonai bazar	Jonai Bazar
jonka	Jonka
jora	Jora
jora khurd	Jora Khurd
jorada	Jorada
jorethang	Jorethang
jorhat	Jorhat
joshimath	Joshīmath
joshipur	Joshipur
jowai	Jowai
jua	Jua
jubbal	Jubbal
jugial	Jugiāl
jugsalai	Jugsālai
jujuvadi	Jūjūvādi
junagadh	Jūnāgadh
junagarh	Jūnāgarh
junnar	Junnar
jutogh	Jutogh
kab	Kāb
kabatabandha	Kabatabandha
kabilpor	Kabilpor
kabnur	Kabnur
kabrai	Kabrāi
kabri	Kabri
kachhwa	Kachhwa
kachrauli	Kachrauli
kachujan gaon	Kachujan Gaon
kadachira	Kadachira
kadaiya	Kadaiya
kadaiyam	Kadaiyam
kadakkavoor	Kadakkavoor
kadakola	Kadakola
kadamakudi	Kadamakudi
kadambur	Kadambūr
kadambuttur	Kadambuttūr
kadannappalli	Kadannappalli
kadapa	Kadapa
kadaparai	Kadaparai
kadattur	Kadattūr
kadaura	Kadaura
kadayal	Kadayal
kadayanallur	Kadayanallur
kadi	Kadi
kadiganahalli	Kādiganahalli
kadiganpalli	Kādiganpalli
kadikkad	Kadikkād
kadipikonda	Kadipikonda
kadipur	Kādīpur
kadiri	Kadiri
kadiyampatti	Kādiyāmpatti
kadma	Kadmā
kadmat	Kadmat
kadod	Kadod
kadodara	Kadodara
kadungalur	Kadungalūr
kadur	Kadūr
kadvad	Kadvād
kagal	Kāgal
kagaznagar	Kagaznāgār
kahi kuchi	Kahi Kuchi
kahol	Kahol
kaij	Kaij
kaikalapettai	Kaikalapettai
kaikalur	Kaikalūr
kailaras	Kailāras
kailasagiri	Kailasagiri
kailashahar	Kailāshahar
kaimganj	Kaimganj
kaimori	Kaimori
kaimur	Kaimur
kainoor	Kainoor
kaipadar	Kāipadar
kaipamangalam	Kaipamangalam
kaiparamba	Kaiparamba
kair	Kair
kairana	Kairāna
kairangala	Kairangala
kaithal	Kaithal
kaithoon	Kaithoon
kakalur	Kākalūr
kakar majra	Kakar Mājra
kakarati	Kākarāti
kakaya	Kakaya
kakching	Kakching
kakching khunou	Kakching Khunou
kakdwip	Kakdwip
kakinada	Kākināda
kakkalapalle	Kakkalapalle
kakkanad	Kakkanad
kakkodi	Kakkodi
kakori	Kākori
kakosi	Kakosi
kakrala	Kakrāla
kakti	Kākti
kalaburagi	Kalaburagi
kaladhungi	Kālādhūngi
kaladi	Kāladi
kalagarh project colony	Kālāgarh Project Colony
kalaigaon	Kālāigaon
kalaikunda	Kalaīkunda
kalakkadu	Kalakkādu
kalamassery	Kalamassery
kalamb	Kalamb
kalamnuri	Kalamnūri
kalanaur	Kalanaur
kalanaur	Kalānaur
kalanwali	Kālānwāli
kalappanayakkanpatti	Kālappanāyakkanpatti
kalappatti	Kālappatti
kalas	Kalas
kalavad	Kālāvad
kalavai	Kalavai
kalavoor	Kalavoor
kalayat	Kalāyat
kalghatgi	Kalghatgi
kalher	Kalher
kaliapani	Kāliapāni
kaliawadi	Kaliawadi
kalikapur	Kālikāpur
kalimpong	Kālimpong
kalimpong, крукети	Kalimpong, Крукети
kalinagar	Kālīnagar
kalinjur	Kalinjur
kaliyaganj	Kāliyāganj
kalka	Kālka
kallakkudi	Kallakkudi
kallakkurichchi	Kallakkurichchi
kallakurichi	Kallakurichi
kallam	Kallam
kallamchavadi	Kallamchavadi
kalleribhagam	Kalleribhāgam
kallettumkara	Kallettumkara
kallidaikurichi	Kallidaikurichi
kalliyassheri	Kalliyasshēri
kalliyoor	Kalliyoor
kallukuttam	Kallukuttam
kallupatti	Kallupatti
kallur tekkumuri	Kallūr Tekkumuri
kallur vadakummuri	Kallūr Vadakummuri
kalmeshwar	Kalmeshwar
kalna	Kālna
kalol	Kalol
kalol	Kālol
kalombe	Kalombe
kalparapatti	Kalparapatti
kalpatta	Kalpatta
kalpeni	Kalpeni
kalpi	Kālpi
kalu chak	Kālu Chak
kalugumalai	Kalugumalai
kalundri	Kālundri
kalwakurti	Kalwākurti
kalyan	Kalyān
kalyandurg	Kalyandurg
kalyani	Kalyani
kalyansingapuram	Kalyānsingapuram
kamakhyanagar	Kāmākhyānagar
kamal pur majra burari	Kamal Pur Majra Burari
kamalabaria n.c.	Kamalabaria N.C.
kamalapuram	Kāmalāpuram
kamalapuram	Kamalāpuram
kamalganj	Kamalganj
kamalnagar	Kamalnagar
kamalpur	Kamalpur
kaman	Kāman
kamareddi	Kāmāreddi
kamarhati	Kāmārhāti
kamaruddinnagar	Kamaruddinnagar
kamatgi	Kamatgi
kamayakkavundanpatti	Kāmayakkavundanpatti
kambainallur	Kambainallur
kambe	Kambe
kamjong	Kamjong
kammivapettai	Kammivapettai
kampil	Kampil
kampli	Kampli
kampur town	Kampur Town
kamthi	Kāmthi
kamuthi	Kamuthi
kanadukattan	Kanadukattan
kanakapura	Kanakapura
kanakpur i	Kanakpur I
kanakpur part-ii	Kanakpur Part-II
kanam	Kānam
kanapaka	Kanapaka
kanar	Kānar
kanayannur	Kanayannur
kanchanpur	Kanchanpur
kanchipuram	Kanchipuram
kanchrapara	Kānchrāpāra
kandahar	Kandahār
kandalloor	Kandalloor
kandamkunnu	Kandamkunnu
kandanissheri	Kandānisshēri
kandanur	Kandanūr
kandanvilai	Kandanvilai
kandari	Kandāri
kandasar	Kandasar
kandhla	Kāndhla
kandi	Kāndi
kandla	Kāndla
kandra	Kāndra
kandragadia	Kandragādia
kandri	Kāndri
kandri	Kandri
kandukur	Kandukūr
kangarali-budrukh	Kangarāli-budrukh
kangarali-khurd	Kangarāli-khurd
kangayam	Kangayam
kangeyanallur	Kangeyanallur
kangpokpi	Kāngpokpi
kangra	Kangra
kanhan	Kanhān
kanhangad	Kanhangad
kanheipur	Kanheipur
kanhirode	Kanhirode
kanigiri	Kanigiri
kanigiri u	Kanigiri U
kanina khas	Kanīna Khās
kanisail pt i	Kanisail Pt I
kaniyambadi	Kaniyambādi
kaniyarakod-kizhakumuri	Kaniyārakōd-Kizhakumuri
kaniyur	Kaniyūr
kanjari	Kanjari
kanjhawala	Kanjhawāla
kanjikkovil	Kānjikkovil
kanjiramkulam	Kanjiramkulam
kankauli	Kankauli
kanke	Kānke
kanker	Kānker
kankipadu	Kankipādu
kankon	Kānkon
kannad	Kannad
kannadiparamba	Kannadiparamba
kannamangalam	Kannamangalam
kannampalaiyam	Kannampālaiyam
kannanendal	Kannānendal
kannankurichchi	Kannānkurichchi
kannanur	Kannanūr
kannapalayam	Kannapalayam
kannapuram	Kannapuram
kannauj	Kannauj
kannavam	Kannavam
kannivadi	Kannivādi
kanniyakumari	Kanniyākumāri
kannod	Kannod
kannur	Kannur
kanodar	Kānodar
kanor	Kānor
kanota	Kānota
kanpur	Kanpur
kanpur cantonment	Kanpur Cantonment
kansad	Kansad
kansapur	Kansāpur
kansbahal	Kansbahal
kant	Kānt
kantabamsuguda	Kantabamsuguda
kantabanji	Kantābānji
kantai	Kantai
kantaphor	Kāntāphor
kanth	Kānth
kantilo	Kantilo
kanuru	Kanuru
kanuru	Kānūru
kanwala	Kānwāla
kanwat	Kānwat
kapadvanj	Kapadvanj
kapas herd	Kāpas Herd
kapasan	Kapasan
kappiyara	Kappiyara
kapren	Kāpren
kapuria	Kapuria
kapurthala town	Kapurthala Town
karachiya	Karachiya
karad	Karād
karadipatti	Karadipatti
karaikal	Kāraikāl
karaikkudi	Kāraikkudi
karaippudur	Kāraippudūr
karaivalimadappur	Karaivalimādappūr
karakkad	Kārakkād
karala	Karāla
karamadai	Kāramadai
karambakkudi	Karambakkudi
karamsad	Karamsad
karamuck	Karamuck
karanja	Kāranja
karanjia	Karanjiā
karanpur	Karanpur
karari	Karārī
karauli	Karauli
karawalnagar	Karāwalnagar
kardhan	Kardhān
kareli	Kareli
karera	Karera
kargahia purab	Kargahiā Purab
kargal	Kargal
kargil	Kargil
karhal	Karhal
kari	Kāri
kariapatti	Kariapatti
karikad	Karikād
karimangalam	Kārimangalam
karimganj	Karīmganj
karimnagar	Karīmnagar
karimpur	Karīmpur
karingal	Karingal
karivali	Karivali
kariyangala	Kariyangala
kariyannur	Kariyannūr
karjan	Karjan
karjat	Karjat
karkala	Kārkala
karle	Karle
karma	Karma
karma tanr	Karma Tanr
karmala	Karmāla
karmatanr	Karmatanr
karmeta	Karmeta
karnal	Karnāl
karnala	Karnāla
karnawad	Karnāwad
karo	Kāro
karol bagh	Karol Bāgh
karrapur	Karrāpur
kartarpur	Kartārpur
karthikappally	Karthikappally
karugampattur	Karugampattur
karukkalvadi	Karukkalvādi
karumalur	Karumālūr
karumandi chellipalaiyam	Karumāndi Chellipālaiyam
karumattampatti	Karumattampatti
karumbakkam	Karumbākkam
karungappalli	Karungappalli
karunguli	Karunguli
karuppur	Karuppur
karur	Karur
karuva	Karuva
karuvanthuruthy	Karuvanthuruthy
karuvellur	Karuvellūr
karvad	Karvad
karwar	Karwar
kasara	Kasāra
kasaragod	Kāsaragod
kasauli	Kasauli
kasba	Kasba
kasdol	Kasdol
kasganj	Kāsganj
kashipur	Kashipur
kasibugga	Kāsībugga
kasinagar	Kasinagar
kasinayakkampatti	Kasināyakkampatti
kasipalaiyam	Kāsipālaiyam
kasipet	Kasipet
kasrawad	Kasrāwad
kataiya	Kataiya
katangi	Katangi
katangi	Katangī
katavallur	Katavallūr
katghora	Katghora
kathanian	Kathāniān
katheru	Katheru
kathhara	Kathhāra
kathlal	Kathlāl
kathor	Kāthor
kathua	Kathua
kati	Kāti
katihar	Katihar
katirail t.e.	Katirail T.E.
katirur	Katirur
katkona	Katkona
katol	Kātol
katoya	Kātoya
katpadi	Kātpādi
katpur	Katpur
katra	Katra
katras	Kātrās
kattakampala	Kāttakampāla
kattanam	Kattanam
kattatturai	Kāttatturai
kattimancode	Kattimancode
kattipparutti	Kāttipparutti
kattivakkam	Kattivākkam
kattrivedu	Kattrivedu
kattumannarkoil	Kattumannarkoil
kattupputtur	Kāttupputtūr
kattur	Kattur
kauranwali	Kaurānwāli
kavali	Kāvali
kavalur	Kavalūr
kavanur	Kavanur
kavaratti	Kavaratti
kaveripak	Kāveripāk
kaveripatnam	Kāveripatnam
kavisuryanagar	Kavisuryanagar
kavundaneri	Kavundaneri
kavundanpalaiyam	Kavundanpālaiyam
kawai	Kawāi
kawant	Kawānt
kawardha	Kawardha
kawlchaw ?e?	Kawlchaw ?E?
kawlet	Kawlet
kawnpur	Kawnpur
kayalpattinam	Kayalpattinam
kayamkulam	Kayamkulam
kayattar	Kayattār
kedia	Kedia
keeramangalam	Keeramangalam
keerikkad	Keerikkad
keevallur	Keevallur
keezhkulam	Keezhkulam
kegaon	Kegaon
keirao bitra	Keirao Bitra
kekri	Kekri
kelamangalam	Kelamangalam
kelhauri	Kelhauri
kelwa	Kelwa
kempanayakkanpalaiyam	Kempanāyakkanpālaiyam
kemri	Kemrī
kenda	Kenda
kendraparha	Kendrāparha
kenduadih	Kenduadīh
kenjaru	Kenjāru
keolari	Keolāri
keonjhargarh	Keonjhargarh
keran	Keran
kerkandi	Kērkandi
keru	Keru
kerur	Kerūr
kesabpur	Kesabpur
kesariya	Kesariyā
keshod	Keshod
keshorai patan	Keshorai Pātan
kesinga	Kesinga
keskal	Keskāl
kesrisinghpur	Kesrisinghpur
ketakipatana	Ketakipatana
kevadiya	Kevadiya
khachrod	Khāchrod
khada	Khada
khadkale	Khadkale
khadki	Khadki
khadki buzurg	Khadki Buzurg
khaga	Khāga
khagaria	Khagaria
khagaul	Khagaul
khailar	Khailār
khair	Khair
khaira	Khaira
khaira bari	Khaira Bari
khairabad	Khairābād
khairagarh	Khairāgarh
khairi	Khairī
khairtal	Khairtal
khajoori khas	Khajoori Khas
khajuraho group of monuments	Khajuraho Group of Monuments
khalari	Khalāri
khali kachigam	Khali Kachigam
khaliapali	Khaliapāli
khalilabad	Khalīlābād
khallikot	Khallikot
khamanon kalan	Khamānon Kalān
khamari	Khamārī
khamaria	Khamaria
khambhaliya	Khambhāliya
khambhat	Khambhāt
khambra on nakodar road	Khambra on Nakodar Road
khamgaon	Khāmgaon
khamharia	Khamharia
khammam	Khammam
khan pur dhani	Khan Pur Dhani
khan sahib	Khān Sāhib
khanapur	Khānāpur
khanapuram haveli	Khanapuram Haveli
khandbara	Khāndbāra
khandela	Khandela
khandpara	Khandpara
khandwa	Khandwa
khaniadhana	Khaniādhāna
khanna	Khanna
khanpur	Khānpur
khanpur	Khanpur
khanr	Khanr
khapa	Khāpa
khapar	Khapar
khapat	Khapat
kharach	Kharach
kharaghoda	Kharaghoda
kharagpur	Kharagpur
kharakvasla	Kharakvasla
kharar	Kharar
kharbav	Kharbav
khardah	Khardah
khardi	Khardi
kharela	Kharela
khargapur	Khargāpur
kharghar	Kharghar
khargone	Khargone
khargupur	Khargupur
kharhial	Kharhiāl
khariar road	Khariar Road
kharijapikon	Kharijapikon
kharkhari	Kharkhari
kharkhauda	Kharkhauda
kharod	Kharod
kharora	Kharora
kharpada	Kharpāda
kharsawan	Kharsāwān
kharsia	Kharsia
kharupatia	Khārupatia
khatauli	Khatauli
khategaon	Khātegaon
khatiguda	Khatiguda
khatima	Khatīma
khatra	Khātra
khaur	Khaur
khawhai	Khawhai
khawzawl	Khawzawl
khed	Khed
kheda	Kheda
khedbrahma	Khedbrahma
khekra	Khekra
khem karan	Khem Karan
khera kalan	Khera Kalān
khera khurd	Khera Khurd
kheralu	Kherālu
kherdi	Kherdi
kheri	Kheri
kheri nangal	Kheri Nāngal
kheri sampla	Kheri Sāmpla
kherli	Kherli
kherliganj	Kherlīganj
kherwara	Kherwāra
khetia	Khetia
khetri	Khetri
khilchian	Khilchiān
khilchipur	Khilchipur
khirkiya	Khirkiya
khliehriat	Khliehriat
khongapani	Khongapani
khoni	Khoni
khonmoh	Khonmoh
khonsa	Khonsa
khopoli	Khopoli
khor	Khor
khorajpur	Khorājpur
khordha	Khordha
khore	Khore
khori kalan	Khori Kalān
khotran	Khotran
khowai	Khowai
khreuh	Khreuh
khuda alisher	Khuda Alisher
khudaganj	Khudāganj
khujner	Khujner
khuldabad	Khuldābād
khunti	Khunti
khurai	Khurai
khurja	Khurja
khusropur	Khusropur
khutar	Khūtār
kiadgira	Kiādgira
kichha	Kichha
kidarakulam	Kidarakulam
kikana	Kīkāna
kil bhuvanagiri	Kīl Bhuvanagiri
kila ambur	Kila Ambur
kilakarai	Kilakarai
kilampadi	Kilampadi
kilapavoor	Kilapavoor
kilattingal	Kīlattingal
kilkunda	Kilkunda
killai	Killai
killannur	Killannur
kilpuduppakkam	Kīlpuduppākkam
kiltan	Kiltan
kilvayattanankuppam	Kīlvayattanānkuppam
kilvelur	Kilvelur
kim	Kim
kinattukkadavu	Kinattukkadavu
kinwat	Kinwat
kiphire	Kiphire
kirakat	Kirākat
kirandul	Kirandul
kiranur	Kīranūr
kiraoli	Kiraoli
kirari sulemannagar	Kirāri Sulemānnagar
kiratpur	Kīratpur
kiri buru	Kiri Buru
kirippatti	Kīrippatti
kirnapur	Kirnāpur
kirodimalnagar	Kirodimalnagar
kishanganj	Kishanganj
kishangarh	Kishangarh
kishanpur	Kishanpur
kishni	Kishni
kishtwar	Kishtwār
kismatpur	Kismatpur
kithor	Kithor
kiyamgei	Kiyamgei
kizhake chalakudi	Kizhake Chālakudi
kizhakkumbagam	Kizhakkumbāgam
kizhariyur	Kizhariyūr
kizhuparamba	Kizhuparamba
kizhuppillikkara	Kizhuppillikkara
kizhuvalam-koonthalloor	Kizhuvalam-Koonthalloor
koath	Koāth
koch bihar	Koch Bihār
kochi	Kochi
kochpara	Kochpara
kodaikanal	Kodaikānāl
kodala	Kodala
kodamthuruth	Kodamthuruth
kodannur	Kodannur
kodar	Kodār
kodarma	Kodarma
kodavasal	Kodavasal
kodigenahalli	Kodigenahalli
kodikkulam	Kodikkulam
kodinar	Kodīnar
kodivalasa	Kodivalasa
kodiyal	Kodiyal
kodlipet	Kodlipet
kodoli	Kodoli
kodumudi	Kodumudi
kodungallur	Kodungallūr
kodur	Kodur
koduvayur	Koduvayur
koelwar	Koelwār
kohima	Kohima
koipadi	Koipādi
koira	Koīra
kokernag	Kokernag
kokotamangalam south	Kokōtamangalam South
kokrajhar	Kokrajhar
kolaccheri	Kolaccheri
kolambe	Kolambe
kolanukonda	Kolanukonda
kolappalur	Kolappalūr
kolar	Kolār
kolar	Kolar
kolaras	Kolāras
kolasib	Kolasib
kolavallur	Kolavallúr
kolayat	Kolāyat
kolazhi	Kōlazhi
kolhapur	Kolhāpur
kolkata	Kolkata
kolki	Kolki
kollam	Kollam
kollancode	Kollancode
kollankoil	Kollankoil
kollegal	Kollegāl
kollivayal	Kollivāyal
koloriang	Koloriāng
kolvi	Kolvi
komalapuram	Komalapuram
kombai	Kombai
kompalli	Kompalli
konaje	Konaje
konanur	Konanūr
konarka	Konārka
konch	Konch
kondagaon	Kondagaon
kondalampatti	Kondalampatti
kondalwadi	Kondalwādi
kondamallapally	Kondamallapally
kondamanayakkanpatti	Kondamanāyakkanpatti
kondapalle	Kondapalle
kondasamudram	Kondasamudram
kondhi	Kondhi
kondichettippatti	Kondichettippatti
kondli	Kondli
kondotty	Kondotty
kondur	Kondūr
konganapuram	Konganāpuram
koni	Koni
konnagar	Konnagar
konnur	Konnūr
konra	Konrā
konta	Konta
koolimuttam	Koolimuttam
koonimedu	Koonimedu
koora	Koora
koothanallur	Koothanallur
koothappar	Koothappar
koovappady	Koovappady
kopaganj	Kopāganj
kopali	Kopali
kopargaon	Kopargaon
kopawor	Kopawor
koppa	Koppa
koppal	Koppal
koppana agrahara	koppana Agrahara
koradacheri	Koradacheri
koradi	Korādi
korampallam	Korampallam
korangarapadi	Korangarapādi
koraput	Koraput
koratagere	Koratagere
koratla	Koratla
koratti	Koratti
korba	Korba
koregaon	Koregaon
korochi	Korochi
korukollu	Korukollu
korwai	Korwai
kosamba	Kosamba
kosi	Kosi
kosigi	Kosigi
kosmi	Kosmī
kot	Kot
kot fatah	Kot Fatah
kot isa khan	Kot Īsa Khān
kot kapura	Kot Kapūra
kota	Kota
kota	Kotā
kotagiri	Kotagiri
kotamangalam	Kotamangalam
kotaparh	Kotapārh
kotar	Kotār
kotba	Kotba
kotdwara	Kotdwāra
kotekara	Kōtekāra
koteshwar	Kōteshwar
kothakota	Kothakota
kothanallur	Kothanallur
kothapet	Kothāpet
kotharia	Kotharia
kothi	Kothi
kothri kalan	Kothri Kalān
kotivakkam	Kotivakkam
kotkapura	Kotkapura
kotkhai	Kotkhai
kotla	Kotla
kotla mahigiran	Kotla Mahigiran
kotla nihang	Kotla Nihang
kotma	Kotma
kotputli	Kotputli
kotra	Kotra
kottagudem	Kottagūdem
kottaikadu	Kottaikādu
kottaikavundanpatti	Kottaikavundanpatti
kottaikuppam	Kottaikuppam
kottaiyur	Kottaiyūr
kottakkal	Kōttakkal
kottangara	Kottangara
kottapalli	Kottapalli
kottapeta	Kottapeta
kottappally	Kottappally
kottapuram	Kottapuram
kottarakara	Kottārakara
kottaram	Kottāram
kottavalasa	Kottavalasa
kottayam	Kōttayam
kottayam	Kottayam
kottur	Kottur
kotturu	Kottūru
kottuvalli	Kottuvalli
kotur	Kotūr
kotwa	Kotwa
kovalam	Kovalam
kovilpalaiyam	Kovilpālaiyam
kovilpalaiyampudur	Kovilpālaiyampūdur
kovilpatti	Kovilpatti
kovur	Kovūr
kovvur	Kovvūr
koyali	Koyali
koyilandy	Koyilandy
koynanagar	Koynanagar
kozhancheri	Kozhancheri
kozhikode	Kozhikode
kozhukkallur	Kozhukkallur
kozhukkully	Kozhukkully
kralapur	Krālapur
krishnagiri	Krishnagiri
krishnanagar	Krishnanagar
krishnapur	Krishnapur
krishnapuram	Krishnāpuram
krishnarajasagara	Krishnarājāsāgara
krishnarajpet	Krishnarājpet
krishnarayapuram	Krishnarayapuram
krishnasamudram	Krishnasamudram
krushnanandapur	Krushnanandapur
kuchaman	Kuchāman
kuchera	Kuchera
kuchinda	Kuchinda
kud	Kūd
kuda	Kuda
kudachi	Kudachi
kudal	Kudāl
kudali	Kudali
kudappanakkunnu	Kudappanakkunnu
kudligi	Kūdligi
kudlu	Kūdlu
kudremukh	Kudremukh
kudus	Kudus
kudwa	Kudwā
kuhalur	Kuhalur
kujjanur	Kujjanūr
kuju	Kuju
kukatpally	Kukatpally
kukdeshwar	Kukdeshwar
kukkudakhandi	Kukkudākhandi
kukshi	Kukshi
kulad	Kulad
kulappuram	Kulappuram
kulasegaram	Kulasegaram
kulasekarapuram	Kulasēkarapuram
kulathummal	Kulathummal
