abramow	Abramów
sobienie jeziory	Sobienie Jeziory
sobkow	Sobków
sobolew	Sobolew
sobotka	Sobótka
sochaczew	Sochaczew
sochocin	Sochocin
sokolka	Sokółka
sokolniki	Sokolniki
sokolow malopolski	Sokołów Małopolski
sokolow podlaski	Sokołów Podlaski
sokoly	Sokoły
sol	Sól
solec kujawski	Solec Kujawski
solec nad wisla	Solec Nad Wisłą
solec-zdroj	Solec-Zdrój
soltysowice	Sołtysowice
somonino	Somonino
sompolno	Sompolno
sonina	Sonina
sonsk	Sońsk
sopot	Sopot
sopotnia wielka	Sopotnia Wielka
sosnica	Sośnica
sosnicowice	Sośnicowice
sosnie	Sośnie
sosno	Sośno
sosnowica	Sosnowica
sosnowice	Sosnowice
sosnowiec	Sosnowiec
sosnowka	Sosnówka
spiczyn	Spiczyn
spytkowice	Spytkowice
srem	Śrem
sroda slaska	Środa Śląska
sroda wielkopolska	Środa Wielkopolska
srodmiescie	Śródmieście
srodmiescie	Środmieście
srodmiescie bielsko	Śródmieście Bielsko
srokowo	Srokowo
stablowice	Stabłowice
stalowa wola	Stalowa Wola
stanislaw dolny	Stanisław Dolny
stanislaw gorny	Stanisław Górny
stanislawice	Stanisławice
stanislawow	Stanisławów
stanislawow pierwszy	Stanisławów Pierwszy
stanowice	Stanowice
staporkow	Stąporków
stara blotnica	Stara Błotnica
stara dabrowa	Stara Dąbrowa
stara kamienica	Stara Kamienica
stara kiszewa	Stara Kiszewa
stara kornica	Stara Kornica
stara wies	Stara Wieś
starachowice	Starachowice
starcza	Starcza
stare babice	Stare Babice
stare bielsko	Stare Bielsko
stare bogaczowice	Stare Bogaczowice
stare czarnowo	Stare Czarnowo
stare juchy	Stare Juchy
stare kurowo	Stare Kurowo
stare miasto	Stare Miasto
stare pole	Stare Pole
stargard	Stargard
starogard gdanski	Starogard Gdański
starokrzepice	Starokrzepice
starowa gora	Starowa Góra
starozreby	Staroźreby
stary sacz	Stary Sącz
stary targ	Stary Targ
stary wisnicz	Stary Wiśnicz
stary zamosc	Stary Zamość
staszow	Staszów
stawiguda	Stawiguda
stawiski	Stawiski
stawiszyn	Stawiszyn
stegna	Stegna
stepnica	Stepnica
sterdyn	Sterdyń
steszew	Stęszew
stezyca	Stężyca
stoczek	Stoczek
stoczek lukowski	Stoczek Łukowski
stopnica	Stopnica
stoszowice	Stoszowice
strachocin-wojnow	Strachocin-Wojnów
strachocina	Strachocina
strachowka	Strachówka
straconka	Straconka
straszydle	Straszydle
straszyn	Straszyn
strawczyn	Strawczyn
stromiec	Stromiec
stronie	Stronie
stronie slaskie	Stronie Śląskie
stroza	Stróża
strumien	Strumień
strykow	Stryków
stryszawa	Stryszawa
stryszow	Stryszów
strzalkowo	Strzałkowo
strzebin	Strzebiń
strzegom	Strzegom
strzegowo	Strzegowo
strzelce	Strzelce
strzelce krajenskie	Strzelce Krajeńskie
strzelce opolskie	Strzelce Opolskie
strzelce wielkie	Strzelce Wielkie
strzeleczki	Strzeleczki
strzelin	Strzelin
strzelno	Strzelno
strzyza	Strzyża
strzyzow	Strzyżów
strzyzowice	Strzyżowice
stubno	Stubno
studzienice	Studzienice
studzionka	Studzionka
stupsk	Stupsk
subkowy	Subkowy
sucha	Sucha
sucha beskidzka	Sucha Beskidzka
suchan	Suchań
suchanino	Suchanino
suchedniow	Suchedniów
suchowola	Suchowola
suchozebry	Suchożebry
suchy dab	Suchy Dąb
suchy las	Suchy Las
sulbiny gorne	Sulbiny Górne
sulechow	Sulechów
sulecin	Sulęcin
suleczyno	Sulęczyno
sulejow	Sulejów
sulejowek	Sulejówek
sulikow	Sulików
sulkowice	Sułkowice
sulmierzyce	Sulmierzyce
suloszowa	Sułoszowa
sulow	Sułów
suprasl	Supraśl
suraz	Suraż
susiec	Susiec
susz	Susz
suszec	Suszec
suwalki	Suwałki
swarzedz	Swarzędz
swiatniki gorne	Świątniki Górne
swidnica	Świdnica
swidnik	Świdnik
swidwin	Świdwin
swiebodzice	Świebodzice
swiebodzin	Świebodzin
swiecie	Świecie
swiecie nad osa	Świecie nad Osą
swieciechowa	Święciechowa
swiedziebnia	Świedziebnia
swiekatowo	Świekatowo
swieradow-zdroj	Świeradów-Zdrój
swiercze	Świercze
swierczewo	Świerczewo
swierczow	Świerczów
swierklaniec	Świerklaniec
swierklany dolne	Świerklany Dolne
swierklany gorne	Świerklany Górne
swierzawa	Świerzawa
swierzno	Świerzno
swieta katarzyna	Święta Katarzyna
swietajno	Swiętajno
swietajno	Świętajno
swietochlowice	Świętochłowice
swilcza	Świlcza
swinice warckie	Świnice Warckie
swinna	Świnna
swinoujscie	Świnoujście
swojczyce	Swojczyce
sycow	Syców
sypniewo	Sypniewo
syrynia	Syrynia
szadek	Szadek
szaflary	Szaflary
szamocin	Szamocin
szamotuly	Szamotuły
szarow	Szarów
szastarka	Szastarka
szczaniec	Szczaniec
szczawnica	Szczawnica
szczawno-zdroj	Szczawno-Zdrój
szczebrzeszyn	Szczebrzeszyn
szczecin	Szczecin
szczecinek	Szczecinek
szczekociny	Szczekociny
szczepanow	Szczepanów
szczepin	Szczepin
szczerbice	Szczerbice
szczercow	Szczerców
szczucin	Szczucin
szczuczyn	Szczuczyn
szczurowa	Szczurowa
szczutowo	Szczutowo
szczyrk	Szczyrk
szczytna	Szczytna
szczytno	Szczytno
szelkow	Szelków
szemud	Szemud
szepietowo	Szepietowo
szerszenie	Szerszenie
szerzyny	Szerzyny
szklarska poreba	Szklarska Poręba
szlachta	Szlachta
szlichtyngowa	Szlichtyngowa
szpetal gorny	Szpetal Górny
szprotawa	Szprotawa
szrensk	Szreńsk
sztum	Sztum
sztutowo	Sztutowo
szubin	Szubin
szumowo	Szumowo
szydlow	Szydłów
szydlowiec	Szydłowiec
szydlowo	Szydłowo
szynwald	Szynwałd
tarczyn	Tarczyn
targanice	Targanice
targowek	Targówek
targowisko	Targowisko
tarlow	Tarłów
tarnawa dolna	Tarnawa Dolna
tarnawatka	Tarnawatka
tarnobrzeg	Tarnobrzeg
tarnogaj	Tarnogaj
tarnogrod	Tarnogród
tarnow	Tarnów
tarnow opolski	Tarnów Opolski
tarnowiec	Tarnowiec
tarnowka	Tarnówka
tarnowo podgorne	Tarnowo Podgórne
tarnowskie gory	Tarnowskie Góry
tczew	Tczew
tczow	Tczów
telatyn	Telatyn
tenczynek	Tenczynek
teresin	Teresin
terespol	Terespol
tereszpol	Tereszpol
tluchowo	Tłuchowo
tluszcz	Tłuszcz
tokarnia	Tokarnia
tolkmicko	Tolkmicko
tomaszkowice	Tomaszkowice
tomaszow lubelski	Tomaszów Lubelski
tomaszow mazowiecki	Tomaszów Mazowiecki
tomice	Tomice
topolka	Topólka
toporzysko	Toporzysko
torun	Toruń
torzym	Torzym
toszek	Toszek
trabki	Trąbki
trabki wielkie	Trąbki Wielkie
trablice	Trablice
trawniki	Trawniki
trojanow	Trojanów
troszyn	Troszyn
truskaw	Truskaw
truskolasy	Truskolasy
tryncza	Tryńcza
trzciana	Trzciana
trzcianka	Trzcianka
trzciel	Trzciel
trzcinica	Trzcinica
trzcinsko zdroj	Trzcińsko Zdrój
trzebiatow	Trzebiatów
trzebiechow	Trzebiechów
trzebiel	Trzebiel
trzebielino	Trzebielino
trzebieszow	Trzebieszów
trzebiez	Trzebież
trzebinia	Trzebinia
trzebnica	Trzebnica
trzebownisko	Trzebownisko
trzebunia	Trzebunia
trzemesnia	Trzemeśnia
trzemeszno	Trzemeszno
trzydnik duzy	Trzydnik Duży
tuchola	Tuchola
tuchomie	Tuchomie
tuchow	Tuchów
tuczepy	Tuczępy
tuczna	Tuczna
tuczno	Tuczno
tuliszkow	Tuliszków
tulowice	Tułowice
tuplice	Tuplice
turek	Turek
turobin	Turobin
turosn koscielna	Turośń Kościelna
turza slaska	Turza Śląska
turze pole	Turze Pole
tuszyn	Tuszyn
twardawa	Twardawa
twardogora	Twardogóra
tworkow	Tworków
tworog	Tworóg
tychowo	Tychowo
tychy	Tychy
tyczyn	Tyczyn
tykocin	Tykocin
tylicz	Tylicz
tymbark	Tymbark
tyniec maly	Tyniec Mały
tyrawa woloska	Tyrawa Wołoska
tyszowce	Tyszowce
uciechow	Uciechów
udanin	Udanin
uherce mineralne	Uherce Mineralne
ujazd	Ujazd
ujescisko-lostowice	Ujeścisko-Łostowice
ujscie	Ujście
ujsoly	Ujsoły
ulanow	Ulanów
ulez	Ułęż
ulhowek	Ulhówek
uniejow	Uniejów
unislaw	Unisław
ursus	Ursus
ursynow	Ursynów
urszulin	Urszulin
urzedow	Urzędów
urzejowice	Urzejowice
uscie gorlickie	Uście Gorlickie
uscimow stary	Uścimów Stary
ustka	Ustka
ustron	Ustroń
ustronie morskie	Ustronie Morskie
ustrzyki dolne	Ustrzyki Dolne
vii dwor	VII Dwór
wabrzezno	Wąbrzeźno
wachock	Wąchock
wadowice	Wadowice
wadowice gorne	Wadowice Górne
waganiec	Waganiec
wagrowiec	Wągrowiec
waksmund	Waksmund
walbrzych	Wałbrzych
walce	Walce
walcz	Wałcz
walichnowy	Walichnowy
walim	Walim
wapielsk	Wąpielsk
wapienica	Wapienica
wapno	Wapno
warka	Warka
warlubie	Warlubie
warnice	Warnice
warsaw	Warsaw
warta	Warta
wartkowice	Wartkowice
wasilkow	Wasilków
wasniow	Waśniów
wasosz	Wąsosz
wawer	Wawer
wawolnica	Wąwolnica
wawrow	Wawrów
wawrzenczyce	Wawrzeńczyce
wegierska gorka	Węgierska Górka
wegliniec	Węgliniec
weglowka	Węglówka
wegorzewo	Węgorzewo
wegorzyno	Węgorzyno
wegrow	Węgrów
wegry	Węgry
wegrzce wielkie	Węgrzce Wielkie
wejherowo	Wejherowo
werbkowice	Werbkowice
wesola	Wesoła
wiazow	Wiązów
wiazownica	Wiązownica
widawa	Widawa
widawa-lipa piotrowska-polanowice	Widawa-Lipa Piotrowska-Polanowice
widuchowa	Widuchowa
wiecbork	Więcbork
wieczfnia koscielna	Wieczfnia Kościelna
wiekszyce	Większyce
wielbark	Wielbark
wielen	Wieleń
wielgie	Wielgie
wielichowo	Wielichowo
wieliczka	Wieliczka
wieliszew	Wieliszew
wielka nieszawka	Wielka Nieszawka
wielka wies	Wielka Wieś
wielki kack	Wielki Kack
wielkie oczy	Wielkie Oczy
wielopole skrzynskie	Wielopole Skrzyńskie
wielowies	Wielowieś
wielun	Wieluń
wieniawa	Wieniawa
wieprz	Wieprz
wieruszow	Wieruszów
wierzawice	Wierzawice
wierzbica	Wierzbica
wierzbinek	Wierzbinek
wierzbna	Wierzbna
wierzbno	Wierzbno
wierzchlas	Wierzchlas
wierzchoslawice	Wierzchosławice
wierzchowo	Wierzchowo
wierzchucino	Wierzchucino
wieszowa	Wieszowa
wietrzychowice	Wietrzychowice
wijewo	Wijewo
wilamowice	Wilamowice
wilanow	Wilanów
wilcza	Wilcza
wilczogora	Wilczogóra
wilczyce	Wilczyce
wilczyn	Wilczyn
wilga	Wilga
wilkolaz	Wilkołaz
wilkow	Wilków
wilkowice	Wilkowice
winnica	Winnica
winow	Winów
winsko	Wińsko
wiskitki	Wiskitki
wisla	Wisła
wislica	Wiślica
wisniew	Wiśniew
wisniewo	Wiśniewo
wisniowa	Wiśniowa
wisznice	Wisznice
witanowice	Witanowice
witaszyce	Witaszyce
witkowice	Witkowice
witkowo	Witkowo
witnica	Witnica
witonia	Witonia
witow	Witów
wizna	Wizna
wladyslawow	Władysławów
wladyslawowo	Władysławowo
wlen	Wleń
wlochy	Włochy
wloclawek	Włocławek
wlodawa	Włodawa
wlodowice	Włodowice
wlosienica	Włosienica
wloszakowice	Włoszakowice
wloszczowa	Włoszczowa
wodynie	Wodynie
wodzierady	Wodzierady
wodzislaw	Wodzisław
wodzislaw slaski	Wodzisław Śląski
wohyn	Wohyń
wojaszowka	Wojaszówka
wojciechow	Wojciechów
wojciechowice	Wojciechowice
wojcieszkow	Wojcieszków
wojcieszow	Wojcieszów
wojkowice	Wojkowice
wojnicz	Wojnicz
wojska polskiego	Wojska Polskiego
wojslawice	Wojsławice
wojszyce	Wojszyce
wola	Wola
wola batorska	Wola Batorska
wola debinska	Wola Dębińska
wola filipowska	Wola Filipowska
wola jachowa	Wola Jachowa
wola krzysztoporska	Wola Krzysztoporska
wola radziszowska	Wola Radziszowska
wola rebkowska	Wola Rębkowska
wola sernicka	Wola Sernicka
wola uhruska	Wola Uhruska
wola zabierzowska	Wola Zabierzowska
wola zarczycka	Wola Żarczycka
wolanow	Wolanów
wolborz	Wolbórz
wolbrom	Wolbrom
wolczyn	Wołczyn
wolin	Wolin
wolka niedzwiedzka	Wólka Niedźwiedzka
wolka pelkinska	Wólka Pełkińska
wolka podlesna	Wólka Podleśna
wolka tanewska	Wólka Tanewska
wolomin	Wołomin
wolow	Wołów
wolowice	Wołowice
wolsztyn	Wolsztyn
wozniki	Wożniki
wozniki	Woźniki
wreczyca wielka	Wręczyca Wielka
wroblew	Wróblew
wroclaw	Wrocław
wronki	Wronki
wrzasowice	Wrząsowice
wrzesnia	Września
wrzeszcz	Wrzeszcz
wrzeszcz dolny	Wrzeszcz Dolny
wrzeszcz gorny	Wrzeszcz Górny
wschowa	Wschowa
wydminy	Wydminy
wymiarki	Wymiarki
wyry	Wyry
wyrzysk	Wyrzysk
wysmierzyce	Wyśmierzyce
wysoka	Wysoka
wysoka glogowska	Wysoka Głogowska
wysoka strzyzowska	Wysoka Strzyżowska
wysokie	Wysokie
wysokie mazowieckie	Wysokie Mazowieckie
wyspa sobieszewska	Wyspa Sobieszewska
wyszki	Wyszki
wyszkow	Wyszków
wyszogrod	Wyszogród
wzgorze mickiewicza	Wzgórze Mickiewicza
zabia wola	Żabia Wola
zabianka-wejhera-jelitkowo-tysiaclecia	Żabianka-Wejhera-Jelitkowo-Tysiąclecia
zabieniec	Żabieniec
zabierzow	Zabierzów
zabierzow bochenski	Zabierzów Bocheński
zabki	Ząbki
zabkowice slaskie	Ząbkowice Śląskie
zablocie	Zabłocie
zabludow	Zabłudów
zabnica	Żabnica
zabno	Żabno
zabor	Zabór
zaborze	Zaborze
zabrze	Zabrze
zabrzeg	Zabrzeg
zacisze	Zacisze
zacisze-zalesie-szczytniki	Zacisze-Zalesie-Szczytniki
zadzim	Zadzim
zagan	Żagań
zagnansk	Zagnańsk
zagornik	Zagórnik
zagorow	Zagórów
zagorz	Zagórz
zagorze	Zagórze
zagorzyce	Zagórzyce
zagrodno	Zagrodno
zahutyn	Zahutyń
zakliczyn	Zakliczyn
zaklikow	Zaklików
zakopane	Zakopane
zakroczym	Zakroczym
zakrzew	Zakrzew
zakrzewo	Zakrzewo
zakrzow	Zakrzów
zakrzowek	Zakrzówek
zalas	Zalas
zalesie	Zalesie
zalesie gorne	Zalesie Górne
zalesie i stadion	Zalesie i Stadion
zaleszany	Zaleszany
zalewo	Zalewo
zaluski	Załuski
zamarski	Zamarski
zambrow	Zambrów
zamch	Zamch
zamosc	Zamość
zaniemysl	Zaniemyśl
zapolice	Zapolice
zarki	Żarki
zarki-letnisko	Żarki-Letnisko
zarnow	Żarnów
zarow	Żarów
zarszyn	Zarszyn
zary	Żary
zarzecze	Zarzecze
zaspa-mlyniec	Zaspa-Młyniec
zaspa-rozstaje	Zaspa-Rozstaje
zator	Zator
zatory	Zatory
zawadzkie	Zawadzkie
zawichost	Zawichost
zawidow	Zawidów
zawidz	Zawidz
zawiercie	Zawiercie
zawoja	Zawoja
zbaszyn	Zbąszyń
zbaszynek	Zbąszynek
zblewo	Zblewo
zbojna	Zbójna
zbojno	Zbójno
zbroslawice	Zbrosławice
zbuczyn	Zbuczyn
zbytkow	Zbytków
zdunska wola	Zduńska Wola
zduny	Zduny
zdziechowice drugie	Zdziechowice Drugie
zdzieszowice	Zdzieszowice
zebowice	Zębowice
zebrzydowice	Zebrzydowice
zegocina	Żegocina
zelazkow	Żelazków
zelechlinek	Żelechlinek
zelechow	Żelechów
zelistrzewo	Żelistrzewo
zelow	Zelów
zembrzyce	Zembrzyce
zerkow	Żerków
zernica	Żernica
zerniki	Żerniki
zerniki wroclawskie	Żerniki Wrocławskie
zgierz	Zgierz
zglobien	Zgłobień
zgorzelec	Zgorzelec
zgorzelisko	Zgorzelisko
ziebice	Ziębice
zielona gora	Zielona Góra
zielonka	Zielonka
zielonki	Zielonki
zlawies wielka	Zławieś Wielka
zlocieniec	Złocieniec
zloczew	Złoczew
zlota	Złota
zlote lany	Zlote Lany
zlotniki	Złotniki
zlotniki kujawskie	Złotniki Kujawskie
zlotoryja	Złotoryja
zlotow	Złotów
zloty stok	Złoty Stok
zmiennica	Zmiennica
zmigrod	Żmigród
znin	Żnin
zoledowo	Żołędowo
zoliborz	Żoliborz
zolkiewka	Żółkiewka
zolynia	Żołynia
zorawina	Żórawina
zory	Żory
zubrzyca dolna	Zubrzyca Dolna
zubrzyca gorna	Zubrzyca Górna
zukowo	Żukowo
zurawica	Żurawica
zurawiczki	Żurawiczki
zuromin	Żuromin
zurowa	Żurowa
zwierzyn	Zwierzyń
zwierzyniec	Zwierzyniec
zwolen	Zwoleń
zychlin	Żychlin
zyrakow	Żyraków
zyrardow	Żyrardów
zyrzyn	Żyrzyn
zywiec	Żywiec
